phylum,discovery_method,n_biomarkers
Actinomycetota,indval_consensus,274
Arthropoda,composite,382
Ascomycota,indval_consensus,261
Bacillota,composite,205
Bacillota,indval_consensus,816
Basidiomycota,indval_consensus,441
Chlorophyta,composite,453
Discosea,composite,4
Discosea,indval_consensus,31
Evosea,composite,650
Heterolobosea,composite,8
Heterolobosea,indval_consensus,23
Methanobacteriota,composite,883
Methanobacteriota,indval_consensus,134
Mollusca,composite,455
Mucoromycota,indval_consensus,32
Nematoda,composite,422
Pseudomonadota,composite,1
Pseudomonadota,indval_consensus,412
Streptophyta,composite,5
Streptophyta,indval_consensus,5163
Thermoproteota,composite,316
